Name,Hours-worked,Hourly-rate
Jennifer Morgan,43,23.36
Christopher Burton,42,61.46
David Edwards PhD,55,31.82
Steven Vargas,48,52.87
Colleen Hanson,48,65.57
Paula Smith,34,44.02
Jesse Fowler,59,73.87
Elaine Moore,45,24.87
Joseph Smith,21,48.98
Justin Hunter,54,61.09
Jamie Murray,49,27.57
Kristin Russell,23,69.57
Morgan Johnson,44,53.2
Tammy Frank,24,66.64
Michael Walters MD,21,71.48
Richard Nguyen,33,37.82
Mr. Robert Morton,30,18.26
Shelly Brown,21,29.2
Patrick Le II,38,22.67
David Marshall,49,73.53
Natalie Harris,50,38.58
Sheryl Bishop,45,51.99
Anne Thompson,54,56.7
Brittany Calhoun,28,59.94
Ricky Medina,40,29.88
Angel Clark,21,54.69
Steven Wyatt,54,38.38
Tyler Rodriguez,43,14.82
Anna Craig,54,32.66
Timothy Lewis,39,40.13
Jorge Perry,38,36.71
Katherine Glass,56,52.53
Leslie Miller,49,34.28
Joseph Glover,46,19.6
Mallory Jones,41,14.96
Catherine Reeves,38,74.72
Amy Oneill,22,36.34
Derrick Finley,30,58.9
Priscilla Stanton,30,45.5
Tyler Clark,47,12.86
Veronica Hernandez,54,55.1
Trevor Greene,55,55.15
Elizabeth Smith,31,13.4
Jessica Edwards,57,73.71
John Lynn,51,74.55
Ryan Wiggins,48,54.84
Raymond Wallace,59,55.24
Melinda Lynch,38,18.56
Martin Henderson,26,35.4
Paul Washington,30,30.28
Andrew Griffin,36,25.62
Joseph Hughes,25,61.37
Joshua Green,29,65.11
Carmen Collins,52,74.03
Thomas Pineda,23,16.94
Terry Rivera,45,38.58
Laurie Rowe,22,58.56
Nancy Stewart,56,39.31
Hunter Murray,39,17.09
Theresa Mills,35,20.5
Dana Ritter,44,28.37
Kimberly Cook,44,34.8
Leah Bell,27,48.39
Shane Thomas,46,54.29
Ashley Valdez,35,10.3
Matthew Gray,39,68.14
Barbara Sellers,37,24.57
William Castillo,36,70.52
Teresa Olsen,32,69.23
Nancy Ross,44,72.56
Angela Bean,23,54.7
David Ramos,43,69.66
Natasha Stark,38,43.7
Gary Lopez,49,33.01
Brian Rojas,21,50.07
Anna Williams,31,38.58
Timothy Wise,52,42.01
Robert Hunter,26,66.42
Cody Yoder,38,40.98
Jonathan Russo,21,51.12
Jim Daniels,57,48.87
Brandon Clark,55,53.28
Michael King,23,10.61
Chelsea Malone,48,16.86
Jamie Smith,23,64.97
Alicia Jackson,26,22.2
Teresa Sandoval,56,24.98
Preston Meyer,43,30.57
Kayla Moore,46,27.07
Gary Whitaker,41,67.2
Sandra Gonzalez,33,20.75
Grace Bauer DVM,48,12.17
Erin Landry,46,20.08
Sean Sexton,20,52.88
Martin Garrett Jr.,53,69.7
Abigail Lewis,23,34.22
Ryan Duran,22,45.73
Andrea Cordova,59,56.92
Lisa Mccall,43,58.82
Tyler Stokes,42,67.03
Maria Jones,58,10.64
Amanda Rios,49,32.6
Elijah Morgan,41,57.82
Patrick Mcknight,46,30.16
Danielle Brooks MD,39,39.55
Jennifer Olson,53,69.51
Patrick Gutierrez,45,68.59
Caitlin Pacheco,31,61.92
Linda Mejia,59,32.3
Brooke Lee,48,65.5
Lisa Wilson,37,14.23
Beth Wilson,59,57.04
Anthony Shields,52,41.07
Miranda Bell,27,62.66
Lisa Clark,50,36.49
Lance Meyer,27,10.85
Katie Martin,37,31.82
Jacob Bishop,54,51.47
Thomas Becker,53,59.25
Joseph Webster,46,20.59
William Rojas,45,29.73
Jasmine Patel,56,61.96
Maria Holt,46,28.33
Luke Smith,37,31.06
Stephen Clements,32,30.75
Matthew Johnson,48,29.12
Stephanie Allen,44,36.43
Shelby Bennett,56,32.23
David Mcclain,23,68.89
Zachary Lewis,22,60.88
Taylor Moore,54,52.77
Cynthia Floyd,46,45.75
Brooke Thompson,22,30.67
Candace Carter,31,62.46
Kelly Hampton,26,56.49
Tommy Nash,52,27.37
Randy Andrews,27,22.95
James Brown,28,43.23
Kimberly Sandoval,49,70.42
Samuel Carson,28,39.81
Tiffany Ball,25,57.88
Shawn David,58,56.64
Tara Collins,59,50.85
Rodney Jenkins,23,44.64
Joshua Jensen,26,34.09
Mark Mitchell,39,55.99
Amanda Hansen,33,22.5
Stephen Lee,46,16.8
Brian Freeman,21,48.93
Peter Anderson,48,42.49
Diana Williams,43,44.0
Thomas Ross,28,62.3
Mary Johnson,23,55.9
Jerry Cruz,24,71.9
Samantha Cobb,22,46.03
Michael Owens,38,34.16
Joseph Bailey,54,66.96
Nancy Garza,21,18.9
Evan Salinas,40,33.79
Carol Hicks,23,20.6
Daniel Young,28,24.7
Cheryl Strong,22,10.32
Michael Sandoval,39,53.47
Samantha Wyatt,34,71.74
Carol Jones,25,61.14
Kimberly Garcia,46,32.49
Erica Brown MD,24,25.85
Caitlin Obrien,51,64.66
Nathan Stevens,38,63.71
Michele Davis,33,72.98
Kathleen Walker,53,10.97
Amy Maxwell,36,50.34
Jordan Pearson,41,69.98
Mandy Schneider,43,55.88
Kelly Kerr,31,64.55
Joshua Hill MD,29,37.74
John Robbins,31,11.25
Ryan Morrison,49,67.26
Aaron Villarreal,54,71.39
Jill Ortega,46,26.86
Stephanie Martin,53,55.75
Brian Morales,24,68.03
Michael Vargas,53,64.82
Robert Foster,58,50.26
James Krause,52,54.76
Michael Hancock,45,38.03
Kara Salinas,53,15.05
Ronald Moore,58,73.09
Dennis Shelton,52,64.01
Anthony Nguyen,24,66.64
Sarah Ferguson,43,11.44
Christopher Blair,40,21.6
Destiny Hill,33,14.23
William Smith,56,12.09
Vernon Lee,40,57.08
Brandon Hernandez,34,39.66
Jimmy Coleman,54,55.2
Darren Jenkins,21,60.53
Julie Johnson,22,48.88
Andrew Khan,29,16.96
Dana Hall,24,17.82
James Ellis,32,67.11
Daniel Garcia,49,41.08
Wendy Murray,44,42.88
Perry Wilson,51,28.22
Timothy Hoffman,41,33.16
Scott Miranda,25,25.47
Jonathan Smith,46,16.31
Mr. Scott Jackson MD,50,73.51
Edward Owens,29,66.38
Kayla Castaneda,23,62.63
Michael Gray,41,49.72
Dawn Cantrell,21,62.56
Charles Rogers,24,64.21
Pamela Hernandez,20,15.95
Laura Rodriguez,40,32.57
Craig Kim,26,57.75
Jessica Williams,45,11.35
Aaron Conley,33,56.7
Mr. Gregory Jennings,46,29.53
Michael Bass,47,70.43
Timothy Dennis,25,18.09
Donald Johnson,22,16.8
Michael Brown,43,44.86
Anne Ross,57,55.61
Charles Ryan,25,64.1
Michael Finley,36,37.91
Antonio Parker,35,59.65
Ryan Mercado,30,68.41
Melissa Newman,31,41.64
Glenn Pacheco,33,58.46
Jorge Mitchell,26,11.09
Jerry Hill,54,17.43
Kyle Simmons,45,69.47
Mark Campbell,38,49.18
Renee Orozco,42,20.36
Timothy Howell,23,39.49
Nicholas Johnson,49,14.92
Angela Peck,47,68.63
David Romero,30,24.85
Cameron Simmons,22,64.99
Taylor Barnett,40,70.7
Ashley Davis,22,42.51
Karen Best,58,53.91
Angela Fisher,45,60.72
Wanda Scott,24,66.49
Kaitlin Harper,39,11.11
Cindy Hall,25,29.28
Lindsey Clark,46,62.66
Mary Mason,32,28.91
Angela Mitchell,38,17.71
David Nelson,21,63.57
Jennifer Wright,40,13.52
Laura Snow,39,33.81
Patrick Brooks,45,40.07
Justin Mendoza,24,23.34
Paul Long,21,69.17
Patricia Davis,34,14.59
John Diaz,59,35.65
Sarah Brennan,31,61.81
Jade Perkins,33,67.64
Peter Smith,29,16.26
Roger Stevens,49,24.33
Yvette Mendoza,25,23.28
Sean Roth,29,39.42
Natalie Rodgers,40,55.66
Virginia Mitchell,39,56.35
Scott Stewart,39,11.53
Timothy Hood,55,47.22
Cynthia Jimenez,39,70.48
Donald George,59,30.88
Kristine Miller,41,20.97
Eric Welch,41,71.32
Jessica Harrison,23,10.05
Joseph Kim,59,67.74
Sarah Rowland,28,59.26
Brenda Fitzpatrick,26,70.22
Victor Tate,28,16.92
Yolanda Jones,29,32.18
Robert Joyce,55,53.62
Mark Smith,46,31.63
Christopher Nelson,43,43.13
Jennifer Stephens,60,45.19
Keith Mitchell,39,62.61
Ashley Austin,54,30.81
Dr. Sheila Bernard,38,49.63
Brett Hardin,56,72.12
Kristen Allen,39,62.84
Christina Bell,27,32.57
Jerry Olsen,41,39.9
Carolyn Ramsey,37,28.98
Taylor Hoover,33,70.97
Jeremy Taylor,45,20.74
Eric Manning,20,11.39
Mary Smith,31,12.89
Scott Williams,35,51.51
Crystal Richard,43,21.2
Kathleen Ellis,54,62.75
Amber Hayden,41,29.44
Mark Bass,46,41.9
Jason Baldwin,45,35.33
Michael Reed,45,16.12
Nicholas King,22,21.83
Jordan Stanton,45,58.26
Jessica Roberson,40,56.31
Krystal Rocha,22,36.0
James Reid DDS,22,28.7
Austin Martinez,57,26.5
Jeffrey Harris,55,63.18
Aaron Moore,22,22.82
Matthew House,41,51.4
Angela Smith,27,50.26
Michael Hall,31,14.99
Andrew Harris,33,69.55
Leroy Phillips,40,62.65
Donna Clay,22,63.57
Debra Black,45,60.48
Kevin Crawford,39,37.9
Brendan Wang,53,35.03
Cheryl Hernandez,60,27.6
Jamie Franklin,37,10.38
Gregg Perkins,46,63.77
Daniel Lee,56,10.21
Casey Oliver,24,18.33
Joseph Austin,59,13.89
Zachary David,35,26.72
Paul King,32,51.79
Andrew Chambers,59,53.16
Lydia Blackwell,33,73.9
Anthony Sims,34,28.76
Laura Wells,47,16.5
Michael Dawson,23,43.27
Kevin Brown,38,19.71
Stephanie Collins,21,69.72
Colleen Gomez,31,69.79
Lisa Thompson,37,59.68
Victoria Mathews,31,23.48
Tamara Rollins,27,67.59
Rebecca Stewart,48,64.82
William Ortiz,49,45.1
Emily Morris,49,26.73
Ashley Buchanan,45,58.64
Joseph Hill,43,54.48
Diane Ewing,30,33.17
Catherine Cherry,52,45.76
James Carpenter,37,39.72
Frank Ward,23,68.65
Lisa Sanders,38,68.51
Janice Mueller,31,50.87
John Morgan,43,24.95
Kylie Romero,37,57.92
Michael Griffith,28,51.53
Amy Johnson,33,30.03
Andrea Munoz,53,65.95
Brian Livingston,35,12.51
Nicholas Humphrey,42,74.99
Alex White,37,74.31
Anthony Arias,43,56.09
David Hill,52,30.34
Alisha Mccormick,32,35.81
Tracy Lopez,21,12.64
Alicia Simmons,20,10.68
Timothy Hayes,52,32.85
Michael Hughes,56,26.12
Paul Adkins,26,49.37
Scott Williams,47,52.27
Tyler Price,36,28.99
Nancy Garza,23,17.21
Amy Watkins,56,27.07
Darrell Mathews,52,59.56
Miguel Farrell,37,15.5
Eric Schneider,28,53.73
Michelle Villarreal,38,41.49
Amber Kaiser,25,42.85
Kara Kelly,51,42.92
Alyssa Ross,55,17.28
Monica Stewart,49,31.23
Howard Ford,59,42.18
Brian Jenkins,54,46.83
Andrea Stephenson,50,39.88
Troy Miller,49,29.67
Caleb Wood,29,22.98
Adam Rojas,20,27.55
Ronald Walker,23,41.01
Dr. Lauren Barrett MD,40,12.07
James Blake,36,21.54
Mrs. Kristen Wolf,45,65.88
Kelly Wright,29,72.06
Ebony Anderson,22,14.92
Robert Pitts,41,22.83
Ryan Tyler,55,43.71
Arthur Dillon,54,25.18
Peter Taylor,47,54.57
James Cameron,39,40.21
Tyler Castaneda,51,68.32
Angela Benson,32,43.44
Jonathon Lee,45,61.02
Timothy Logan,33,54.09
Joshua Palmer,51,73.86
Sheila Mitchell,56,19.81
Heather Carter,23,72.91
Manuel Ortega,32,16.18
Tara Munoz,52,24.85
John Parrish,22,11.92
Yolanda Gonzalez,20,39.95
James Johnston,56,23.09
Sara Brown,60,13.68
Amanda Garcia,34,72.71
Kimberly Davis,26,59.68
Lindsay Orozco,36,68.71
Roy Koch,25,24.12
Terry Ferrell,43,56.1
Bryan Allen,20,50.77
Wendy Myers,45,55.9
Hannah Waters,37,64.73
David Jarvis,33,44.19
Edward Price,59,16.53
Jessica Blair,49,71.42
Matthew Richards,57,13.27
Heather Gonzalez,49,64.29
Margaret Olson,43,41.89
Kyle Davis,31,55.42
Christopher Evans,57,74.37
Jason Garza,54,38.37
Stephanie Rose,42,11.18
Nicole Johnson,32,66.56
Christine Clayton,30,67.73
Jeffrey Shelton,58,42.99
Cassandra Brown,46,40.66
Lisa Johnson,53,29.2
Karen Riley,23,17.44
Mitchell Dean,32,45.94
William Cox,56,48.57
Joshua Diaz,46,71.84
Shelia Gregory,60,36.54
Dr. Michael Leonard,38,58.92
April Moran,54,58.9
James Wolf,24,40.32
Thomas Reed,25,14.59
Daniel Phillips,41,42.25
Lauren Pearson,40,63.71
Jerry Richards,47,28.59
Logan Singleton,45,23.71
Melanie Bell,49,36.26
Carl Cherry,43,52.65
Ashley Holder,30,18.86
Patricia Jones,60,37.95
Scott Silva,44,56.46
Kirsten Fox,41,54.25
Bryan Harper,56,34.9
Kathryn Willis,50,14.95
Kelsey Fowler,59,24.87
Logan Caldwell,32,74.5
Joyce Saunders,36,58.11
Ms. Michelle Hudson,58,62.0
Daniel Alexander,25,68.72
Deborah Livingston,39,64.52
Amanda Riggs,21,33.63
Katelyn Gibson,51,59.26
Gabriel Cox,54,20.72
Jessica Nichols,44,72.31
Kayla Reynolds,50,64.19
Tyler Weber,46,14.55
Misty Hudson,35,15.49
Ashley Leon,45,72.01
Jason Davis,27,54.87
Mr. James Bass,20,27.94
Ray Cox,34,17.8
John Neal,59,32.27
Tammy Burke,45,64.8
Denise Hurley,51,17.16
Frank Willis,55,23.97
Kristin Stark,33,71.07
Paula Massey PhD,23,67.86
Christopher Norton,22,46.2
Stephanie Johnson,24,61.33
Vincent Smith,35,54.56
David Parks,45,33.39
Priscilla Bailey,55,32.26
Mr. Douglas Smith,52,20.8
Derrick Downs,32,11.6
Annette Nelson DDS,31,53.06
Douglas Greene,38,12.58
Brian Perez,28,64.95
Jenna Tucker,46,63.57
Eric Vasquez,22,44.5
Michael Nelson,51,26.54
Leonard Harrington,36,17.15
Claudia Kelley,43,37.98
Joshua Gibbs,36,19.91
Tracy Nunez,60,72.69
Jacob Dalton,35,45.79
Bradley Berg,34,71.59
Joanna Wilson,29,25.66
Lawrence Robinson,50,49.81
Sheila Mcgee,27,10.71
Richard Flynn,29,19.23
Jack Byrd,20,59.58
Mr. Robert Burns,23,62.05
Tammy Nichols,38,46.89
Diana Gonzales,41,57.76
Adam Lee,41,43.86
Darrell Maxwell,27,68.53
Wendy Berger,45,12.26
Anthony Harrell,50,22.3
Jodi Cross,26,61.87
Lisa Reed,40,52.49
Ryan Smith,33,21.34
Lawrence Wu,33,71.28
Brian Graham,56,47.94
Jennifer Lewis,22,26.03
Scott Morrison,37,32.06
Gregory Alvarez,48,49.31
Gerald Durham,20,66.04
Benjamin Mcbride,28,10.98
Kimberly Watts,58,27.76
Richard Mack,39,70.31
William Hernandez,22,40.0
Steven Martinez,21,66.19
Paul Obrien,27,53.18
Kathy Fry,34,70.22
Ronald Reid,35,63.1
Denise Lindsey,36,37.29
Marcus Schultz,33,14.51
Randall Robinson MD,51,56.09
Eugene Cordova,52,22.95
Chloe Gordon,21,28.01
William Nguyen,37,53.9
Ryan Cruz,54,70.55
Jason Wright,58,56.03
Sabrina Phillips,32,69.37
Robert Edwards,44,30.5
Madison Moore MD,20,48.9
Alex Brown,49,49.72
Kenneth Dunn,47,29.61
Casey Bennett,60,29.25
Raymond Ryan,56,30.35
Tracy Floyd,30,48.35
Michael Mccullough,59,29.56
Jeffery Oconnor,43,26.28
Mr. Daniel Hobbs,34,53.84
Chase Cunningham,43,20.84
Tammie Barker,33,25.99
Natasha Carr,27,49.14
Bethany Smith,37,43.55
Pamela Craig,35,56.23
Matthew Osborn,46,11.05
Timothy Miller,33,30.85
Diane Davis,35,55.57
Danielle Allen,47,16.23
Joshua Ross,30,48.44
Katherine Reed,34,40.16
Shawn Henry,42,16.14
Mrs. Donna Hernandez DDS,35,62.62
Ebony Gordon,32,65.68
Kerry Smith,34,66.73
Brandi Flores,44,63.15
Dawn Salazar,45,34.88
Kelly Santana,35,31.19
Sandra West,27,69.38
Heather Holt,44,58.61
Zachary Carey,37,40.77
Jonathan Lam,22,40.15
Angela Jefferson,30,32.78
Catherine Valenzuela,32,68.29
Anthony Mata,42,13.58
Brian Pierce,43,74.51
Duane Thomas,20,57.78
Jessica Sherman,45,36.87
Brendan Keller,52,52.43
Michael Potter,30,54.02
Jennifer Jackson,52,74.82
Charles Clark,28,25.31
Steven Bennett,55,11.94
Jeffery Duarte,48,64.46
Ellen Lawrence,57,39.69
Wendy Espinoza,51,63.02
Gary Dean,26,49.34
Matthew Jones,20,48.68
Gregory Vega,36,57.57
Crystal Mitchell,32,40.01
Kristen Cox,22,54.39
Samantha Klein,20,53.89
Daniel Dunn,44,12.56
Leslie Rodgers,60,28.86
Dana Taylor,27,58.05
Anthony Mcdaniel,31,31.15
Mark Greer,59,52.72
Jose Reed,29,14.58
Jacqueline Anthony,40,28.82
Michael Burch,51,32.89
Scott Young,55,11.48
Sandra Lucero,43,43.54
Daniel Knight DDS,34,56.53
Kristin Wilkins,56,24.47
Sara Berry,37,11.3
Miss Brenda Walsh,22,17.54
Daniel Dunn,39,69.37
Elizabeth Marshall,48,71.32
Kevin Anderson,25,35.96
Tiffany Smith,54,45.12
Mary Elliott DDS,29,63.19
Susan Hall,48,15.86
Vanessa Morris,33,26.2
Derek Jones,29,44.37
Frank Watson,20,63.03
Jacob Adams,51,52.59
Jennifer Valentine,49,30.36
Troy Frank,48,67.86
Kevin Marshall,34,60.42
Michael Brown,58,13.01
Rebekah Mack,50,53.63
Courtney Ramirez,23,33.01
Charles Hoover,42,17.32
Krista Olsen,21,20.19
Douglas Rogers,52,34.41
Wesley Graham,52,11.17
Kayla Thompson,49,10.58
Andrea Brown,25,38.54
Lori Lewis,55,12.4
Scott Rivera,49,13.3
Crystal Sweeney,45,41.81
Summer Cole,39,69.74
Gregory Johnson,48,62.68
Mariah Garrett,22,29.39
Kristin Horton,20,23.16
Brian Davis,45,47.79
Mr. Alan Curtis,35,52.67
Nicholas Dillon,33,74.65
Oscar Harris,42,37.5
Travis Mcknight,34,36.25
Justin Schneider,60,74.71
Timothy Harris,36,50.36
Jennifer Monroe,27,74.27
Joel Burke,42,18.05
Sharon Mcmahon,28,36.2
Jonathan Dean,43,49.11
Michelle Bailey,56,32.82
Angela Cuevas,25,16.37
Ashley Thompson,49,39.64
John Grant,46,17.76
David Matthews,58,35.5
Charles Smith,43,12.33
Louis Sullivan,42,48.3
Lawrence Carlson,29,69.13
Henry Clark,49,39.57
Alec Holmes,53,27.43
Ruth Huang,59,34.23
Laura Potter,50,28.79
Willie Moore,42,18.34
Aaron Kane,48,60.12
Julia Sanchez,50,16.91
Logan Calhoun,23,71.38
Angela Gibbs,27,56.5
Elizabeth Byrd,35,70.68
Nathan Walker,31,51.23
Donna Hanson,50,49.79
Emma Montoya,41,70.12
Shane Medina,53,41.63
Lisa Hunt,29,29.85
Robert Sanders,57,60.89
Kevin Craig,47,47.22
Stephen Johnson,50,45.35
Shane Robbins,20,57.33
Jacqueline Moore,47,59.92
Miss Pamela Dyer,41,14.0
Judy Roman,27,21.36
Theresa Wheeler,37,24.64
Kelli Cobb,45,69.95
Douglas Durham,27,31.27
Kristen Edwards,27,39.04
Michele Smith,60,37.96
Katherine Harris,51,45.73
Catherine Turner,52,19.93
Lori Green,51,66.62
Kelly Dominguez,49,37.28
Lori Morton,42,24.85
Michele Friedman,25,31.61
Patricia Lopez,34,70.34
Kevin Vaughn,56,23.4
Samantha Hall,26,68.8
Virginia Hall,22,31.27
Justin Bailey,57,16.34
Matthew Rose,56,42.53
Jordan Taylor,42,64.87
Timothy Fox,42,19.67
Stephen Allen,33,34.44
Joel Wolf,60,15.95
Kathryn Brown,48,45.15
Manuel Davis,39,70.65
Amy Bryant,28,16.66
Destiny Thomas,44,57.16
Jessica Cox,21,51.92
Rebecca Floyd,35,39.21
Christian Moreno,60,66.78
Richard Brown,50,32.79
Joseph Nash,55,51.9
Catherine Watts,39,12.0
Kathleen Howard,51,20.1
Alexandra Harris,36,74.92
Rhonda Wise,45,69.55
Christopher Perkins,53,46.21
Douglas Keith,52,30.84
Susan Coleman,33,66.24
Jordan Wallace,36,12.55
Kayla Diaz,55,19.35
Scott Townsend,56,70.3
Jacob Ali,35,45.0
Dean Spence,29,26.08
Jennifer Vance,40,73.34
Regina Green,24,54.74
Anthony Martinez,57,16.55
Michelle Lozano,40,32.42
Brooke Davis,38,71.54
Eric Kirk,54,25.99
Kaitlyn Mejia,22,14.81
Rebecca Harper,28,67.18
Andrew Stafford,36,53.67
Jennifer Martin,51,29.06
Julie Lopez,44,69.87
Zachary Barr,53,30.72
Veronica Navarro,27,12.37
Jason Mcguire,39,19.81
Maurice Moreno,50,24.81
Judy Reed,45,49.46
Alexis Porter,28,70.34
Mr. Dalton Hernandez Jr.,48,13.29
Shawn Garcia,34,33.13
Angela Ali,38,61.15
Jeffrey Ho,59,45.48
Robert Smith,43,19.94
Matthew Thomas,46,58.35
Kenneth Hendrix,35,53.06
Javier Scott,42,45.71
Claire Guzman,41,24.95
Douglas Blackwell,55,39.0
Jeffrey Reyes,29,36.21
Shannon Cain,20,66.64
Antonio Hooper,27,14.15
Cynthia Sheppard,54,22.95
David Arnold,34,51.38
Frank Cook,59,71.61
Renee Randolph,26,30.28
Stacy Collins,42,73.5
Nancy Warren,35,13.08
Robert Sexton,47,13.25
Julie Mann,59,13.75
Elizabeth Duke,27,32.68
Jennifer Aguilar,48,51.27
Yolanda Wolfe,27,50.2
Morgan Tran,47,27.24
Danielle Logan,37,43.01
Maria Miller,21,74.78
Thomas Lyons,57,11.98
Paul Obrien,22,25.09
Michelle Hess,23,67.49
Lisa Brown,49,42.26
Ashley Sullivan,58,59.45
Patricia Wilkins,24,73.94
David Anderson,49,65.56
David Jennings,36,25.73
Leslie Martinez,48,19.39
Timothy Mills,54,60.72
Debra Payne,39,28.84
James Carroll II,27,28.45
Kyle Alexander,49,46.74
Nicholas Wheeler,52,26.26
Robin Davis,27,24.31
Richard Boyd,48,33.21
Mr. Blake Powell,40,41.34
Brittney Cox,50,38.33
Timothy Jackson,56,41.68
Christopher Walker,39,54.71
Steven Jones,42,52.63
William Alexander,47,68.03
Greg Mcdonald,45,65.53
Mr. William Bentley,23,19.16
Scott Jenkins,22,11.48
Benjamin Avila,22,31.19
Lisa Kerr,41,72.11
Jonathan Richards,23,71.89
Frank Garcia,30,38.99
Steven Stanley,58,48.7
Margaret Roy,38,37.32
Karen Reid,23,36.77
Sonia Ford,55,12.6
Adam Williams,59,47.21
Nicholas Johnston,21,64.04
Ruben Arnold,51,60.04
Margaret Ferguson,32,51.24
Zachary Kennedy,48,67.23
Harry Mckinney,39,35.4
Jeremy Buchanan,34,54.19
Grace Olsen,38,30.94
Jennifer Hunt,26,39.45
Kaitlin Williams,58,44.45
Andrew Williams,28,29.23
Julia Mcgee,51,24.08
Scott Petty,22,40.92
Melissa Morrison,29,14.3
Mark Patel,25,50.62
Troy Cummings,27,55.73
Justin Bryant,54,49.26
Todd Freeman,58,52.6
Kevin Ramos,52,25.08
Lisa Campbell,49,44.58
Andrew Moore,33,36.83
Shelby Davis,52,66.33
Cindy Hernandez,43,57.65
Bailey Vang,43,45.57
Felicia Miller,20,69.99
Sarah Gillespie,36,35.33
Paul Cannon,37,25.52
Jared Hart,43,28.52
Benjamin Henry,52,11.95
Amy Carroll,30,19.39
Megan Gutierrez,54,60.37
Terri Mcguire,28,26.66
Diane Todd,31,70.0
Wesley Grant,36,74.53
Yvonne Harper,44,21.79
Chad Hernandez,22,27.23
Stephen Smith,32,68.28
Brenda Clarke,38,37.42
Joshua Harper,52,12.35
Stephanie Wolfe,36,63.8
Tiffany Bishop,52,10.68
Mrs. Diane Smith,57,24.69
Emily Landry,25,29.07
Gregory Vazquez,48,22.4
Robert Mckinney,51,54.05
Angel Coleman,43,39.6
Sabrina Ortega,45,11.25
Makayla Fisher,37,43.21
Brendan Gill,35,41.64
Teresa Peterson,28,48.06
Danielle Melton,37,49.03
Justin Flowers,56,33.02
Lauren Russell,37,61.18
Marisa Parker,31,16.09
Amanda Fitzpatrick,26,17.14
Carrie Miles,50,62.2
Lindsay Hughes,45,28.29
Rachael Greer MD,49,31.26
Mary Diaz,22,31.87
Christopher Frey,46,38.66
Cheryl Hood,33,29.05
Jacqueline Chandler,57,56.85
Pamela Burton,32,63.25
Alexander Arias,47,66.02
Gregory Wilkins,29,48.86
Amy Carroll,32,19.08
Philip Scott,30,42.5
Jesse Terry,48,57.78
Regina Bowen,20,62.43
Michelle Moody,58,72.62
Nicole Santos,27,24.92
Gary Douglas MD,20,39.35
Thomas Shields,40,53.34
Melissa Richard,27,29.15
Kevin Sutton,44,69.02
Teresa Henson,50,14.79
Brian Flores,55,36.38
Angela Tanner,41,15.96
Mrs. Susan Dodson DDS,42,72.29
Lisa Mcconnell,53,59.45
Melissa Jackson,59,70.84
Brandy Taylor,24,54.53
Brittany Smith,41,35.22
Ryan Brown,43,30.0
Kelly Larsen,37,55.65
Lindsay Ray,50,31.61
Teresa Sherman,60,47.47
Shelley Rios,25,68.01
Henry Butler,33,40.08
Jessica Bradley,42,71.64
James Watson,57,28.63
Elizabeth Smith,28,70.36
Mr. Justin Palmer,55,42.89
Samantha Mccarthy,49,65.63
Wendy Silva,40,38.4
Alejandro Simmons,26,36.21
Jose Rodriguez,58,56.76
Antonio Moore,55,69.81
Carrie Goodwin,31,12.9
Jeffrey Robinson,59,67.78
Kimberly Brown,32,69.2
Timothy Jones,24,68.3
Bryan Carter,44,50.98
Marc Ellis,46,65.75
Charles Anderson,32,16.88
Marissa Jackson,42,14.07
Rachel Smith,51,73.96
Sharon Taylor,36,73.79
Seth Roy,60,14.99
Anthony Smith,31,22.0
Darrell Parker,23,71.04
Christopher Wilson,29,38.44
Sandra Norris,27,28.08
Kyle Vaughan,21,60.37
Amy Adams,35,20.65
Alex Miles,54,26.61
Jason Johnson,60,55.18
Brandy Medina,27,73.48
Lisa Alexander,20,71.19
Ronald Smith,40,60.43
Renee Webb,57,52.42
Jason Williams,30,29.28
Anthony Anderson,25,61.02
Joshua Garner,45,36.58
Randy Taylor,23,46.94
Matthew Mitchell,59,70.64
Aaron Rice,36,52.48
Gregg Oliver,47,13.58
Bailey Bell,26,51.61
Amanda Morgan,55,26.62
Stephen Long,26,41.69
Julie Hansen,24,74.19
Cheryl Davis,33,31.82
Michelle Santos,56,58.36
Leonard Casey,27,37.2
Mrs. Dawn Henry,30,24.04
Peter Anderson,47,14.89
Chad Walsh,47,34.65
Heather Clark,27,54.72
Kimberly Moses,49,22.52
Daniel Johnson,28,59.51
Dana Cole,24,72.87
John Williams,23,33.84
Jessica Gonzalez,49,45.43
Brittney Taylor,25,38.52
Rachel Miller,47,74.18
Heather Cortez,49,44.27
Anthony Jones,33,70.53
Brittany Boyer,41,11.19
David Williams,27,60.31
Cynthia Mcdonald,52,69.77
Terry Stewart,26,42.05
Anthony Andrews,47,70.68
Daniel Boone,40,69.18
Amanda Bradshaw,44,13.39
Amber Evans,21,24.45
Dominique Thomas,36,63.71
Eric Patton,28,26.77
Shannon Anderson,39,53.06
Robert Smith,42,44.38
Heather Tyler,39,67.66
Timothy Munoz,22,61.23
Daniel Mendoza,54,28.76
Dr. Olivia Hudson,59,49.98
Haley Williams,21,42.78
Tina Obrien,53,12.0
Douglas Bell,35,46.44
Jordan Johnson,42,45.34
Christine Spence,21,71.59
Timothy Buck,31,34.88
Amber Rodgers,42,24.51
Sean Miller,31,20.14
Jennifer Rowe,48,25.07
Sandy Jones,52,21.21
Amy Hayden,57,23.69
Sean Gallagher,57,54.83
Joseph Davis,27,33.13
Randy Pierce,56,31.49
